"FileName","Drive_#","Access_Mode","Size","Last_Access","Last_Modify","Created"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\FixEventLogExport\FixEventLogExport\bin\x86\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:13:25","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\FixEventLogExport\FixEventLogExport\bin\x86\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/07 01:12:00","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\FixEventLogExport\FixEventLogExport_Distribution_Package\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/07 01:30:39","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\MassUpdateColorIndex\MassUpdateColorIndex\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:56","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\MassUpdateColorIndex\MassUpdateColorIndex\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:57","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\MultiCat\MultiCat\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:57","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\NFiles\NFiles\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:57","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\WWEnumEnvironmentStrings\WWEnumEnvironmentStrings\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:33","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\WWEnumEnvironmentStrings\WWEnumEnvironmentStrings\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:57","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\WWEnumEnvironmentStrings\WWEnumEnvironmentStrings\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:57","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\Console_Apps\WWEnumEnvironmentStrings\WWEnumEnvironmentStrings\bin\x86\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:13:25","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\DatabaseApps\GeneralPurposeLogger\ConsoleApplication1\ConsoleApplication1\WizardWrx.DLLServices2.dll.config","2","33060","8468","2016/09/11 00:35:02","2016/06/05 20:20:48","2016/09/05 21:36:52"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\DatabaseApps\GeneralPurposeLogger\ConsoleApplication1\ConsoleApplication1\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/09/11 00:38:23","2016/06/05 20:20:48","2016/09/05 21:42:36"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\DataEaseDirectoryReader\DataEase\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:58","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\DataEaseDirectoryReader\DataEase\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:58","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\DataEaseDirectoryReader\DataEaseDirectoryReader\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:33","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\DataEaseDirectoryReader\DataEaseDirectoryReader\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:58","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\DataEaseDirectoryReader\DataEaseDirectoryReader\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:58","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\DataEaseDirectoryReader\SupportMethodTester\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:33","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\DataEaseDirectoryReader\SupportMethodTester\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:58","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\DataEaseDirectoryReader\SupportMethodTester\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:58","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayFileMonitor\EZPayFileMonitor\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/09 00:06:17","2014/09/09 17:08:54","2014/10/16 14:42:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayFileMonitor\EZPayFileMonitor\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:58","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayFileMonitor\EZPayFileMonitor\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:59","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayWebPmtsNotifier\EZPayWebPmtsNotifier\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:59","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayWebPmtsNotifier\EZPayWebPmtsNotifier\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:59","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZXFER_Cloud_Manager\EZXFER_Cloud_Manager\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:34","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZXFER_Cloud_Manager\EZXFER_Cloud_Manager\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:59","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZXFER_Cloud_Manager\EZXFER_Cloud_Manager\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/06/06 04:12:59","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\LogBasePruner\LogBasePruner\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/09 00:06:25","2014/07/12 15:34:52","2014/10/16 14:42:58"
