"FileName","Drive_#","Access_Mode","Size","Last_Access","Last_Modify","Created"
"C:\Documents and Settings\DAVE\OneDrive\OneDrive - Simple Soft Services, Inc\REFERENCE\NTFS Streams and Hard Links\HardLinks.vbs","2","33206","3018","2016/08/16 01:48:18","2015/11/15 20:21:45","2016/06/11 17:16:56"
"C:\Documents and Settings\DAVE\OneDrive\OneDrive - Simple Soft Services, Inc\REFERENCE\NTFS Streams and Hard Links\RWStream.vbs","2","33206","3026","2016/08/16 01:48:18","2015/11/15 20:21:46","2016/06/11 17:15:58"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\BASIC\Common.vbs","2","33060","39084","2016/09/10 19:05:01","2015/12/06 17:50:48","2015/12/06 17:50:41"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\HTML\IEspy_src\IEspy.vbs","2","33060","31254","2016/08/16 01:49:43","2004/06/03 16:27:06","2014/10/16 14:22:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\HTML\IEspy_src\IEspy_Network.vbs","2","33060","21296","2016/08/16 01:49:43","2004/06/03 16:27:22","2014/10/16 14:22:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\NTFS Streams and Hard Links\HardLinks.vbs","2","33060","3018","2016/08/15 23:12:19","2000/02/04 17:58:54","2014/10/16 14:22:40"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\NTFS Streams and Hard Links\RWStream.vbs","2","33060","3026","2016/08/15 23:12:20","2000/02/04 03:32:26","2014/10/16 14:22:40"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\NTFS Streams and Hard Links\StrmExt\ReleaseMinDependency\HardLinks.vbs","2","33060","3018","2016/08/16 01:55:31","2000/02/04 17:58:54","2014/10/16 14:22:40"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\NTFS Streams and Hard Links\StrmExt\ReleaseMinDependency\RWStream.vbs","2","33060","3026","2016/08/16 01:55:31","2000/02/04 03:32:26","2014/10/16 14:22:40"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\PKZIP_ERROR_TRAPPING\focus.vbs","2","33060","482","2016/08/15 23:13:30","2008/08/15 17:44:34","2014/10/16 14:22:59"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\PKZIP_ERROR_TRAPPING\regopen.vbs","2","33060","382","2016/08/15 23:13:36","2008/08/15 17:43:06","2014/10/16 14:22:59"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\accountsid.vbs","2","33060","329","2016/08/15 23:13:47","2008/08/15 17:17:18","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\alwayshideext.vbs","2","33060","827","2016/08/15 23:13:47","2008/08/15 17:18:26","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\changedefaultdir.vbs","2","33060","400","2016/08/15 23:13:47","2008/08/15 17:48:14","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\changeownerorg.vbs","2","33060","714","2016/08/15 23:13:47","2008/08/15 17:38:10","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\changess.vbs","2","33060","454","2016/08/15 23:13:47","2008/08/15 18:07:04","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\clipboardreader.vbs","2","33060","300","2016/08/15 23:13:48","2008/08/15 17:16:00","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\compactcheck.vbs","2","33060","1456","2016/08/15 23:13:48","2008/08/15 17:32:22","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\favdisable.vbs","2","33060","480","2016/08/15 23:13:49","2008/08/15 17:45:52","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\favmenus.vbs","2","33060","480","2016/08/15 23:13:49","2008/08/15 17:46:00","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\focus.vbs","2","33060","482","2016/08/15 23:13:49","2008/08/15 17:44:34","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\focusundo.vbs","2","33060","481","2016/08/15 23:13:49","2008/08/15 17:45:18","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\iconcache.vbs","2","33060","349","2016/08/15 23:13:49","2008/08/15 17:11:08","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\ietoolbars.vbs","2","33060","944","2016/08/15 23:13:50","2008/08/15 17:35:26","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\LookUpExtensions.vbs","2","33060","658","2016/08/15 23:13:51","2008/08/15 17:46:34","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\numlockenabledisable.vbs","2","33060","993","2016/08/15 23:13:51","2008/08/15 17:37:56","2014/10/16 14:23:07"
